sessionId,sampleIndex,action,source,x,y,eventTimeNs
3,6868,MOVE,current,841.6201,1748.4404,740914433915433
3,6869,MOVE,historical,841.5996,1748.5,740914438887000
3,6870,MOVE,current,841.5596,1748.54,740914442228107
3,6871,MOVE,historical,841.4004,1748.5996,740914447308000
3,6872,MOVE,current,841.32324,1748.6387,740914450541900
3,6873,MOVE,historical,841.2002,1748.7002,740914455759000
3,6874,MOVE,current,841.12695,1748.7363,740914458855765
3,6875,MOVE,historical,841.0996,1748.7998,740914464876000
3,6876,MOVE,current,841.0752,1748.8252,740914467169372
3,6877,MOVE,historical,841.0,1748.9004,740914472472000
3,6878,MOVE,current,840.95996,1748.9395,740914475482269
3,6879,MOVE,historical,840.7002,1749.0,740914481043000
3,6880,MOVE,current,840.6035,1749.0322,740914483795740
3,6881,MOVE,historical,840.5996,1749.0996,740914489616000
3,6882,MOVE,current,840.5713,1749.1289,740914492109243
3,6883,MOVE,historical,840.5,1749.2002,740914498030000
3,6884,MOVE,current,840.4717,1749.2285,740914500422212
3,6885,MOVE,historical,840.2998,1749.2998,740914506281000
3,6886,MOVE,current,840.24023,1749.3301,740914508735685
3,6887,MOVE,historical,840.0996,1749.4004,740914514815000
3,6888,MOVE,current,840.04785,1749.4258,740914517049254
3,6889,MOVE,historical,839.9004,1749.5,740914523241000
3,6890,MOVE,current,839.8496,1749.5254,740914525362289
3,6891,MOVE,historical,839.7002,1749.5996,740914531783000
3,6892,MOVE,current,839.6553,1749.6221,740914533675907
3,6893,MOVE,historical,839.5,1749.7002,740914540158000
3,6894,MOVE,current,839.45605,1749.7217,740914541989287
3,6895,MOVE,historical,839.2998,1749.9004,740914548353000
3,6896,MOVE,current,839.25195,1749.9473,740914550302723
3,6897,MOVE,historical,839.0996,1750.0,740914556700000
3,6898,MOVE,current,839.0537,1750.0234,740914558616114
3,6899,MOVE,historical,838.9004,1750.0996,740914564893000
3,6900,MOVE,current,838.8506,1750.125,740914566929642
3,6901,MOVE,historical,838.5996,1750.2998,740914573385000
3,6902,MOVE,current,838.5342,1750.3438,740914575242986
3,6903,MOVE,historical,838.2998,1750.5,740914582018000
3,6904,MOVE,current,838.2461,1750.5361,740914583556284
3,6905,MOVE,historical,838.0996,1750.5996,740914590169000
3,6906,MOVE,current,838.0586,1750.6211,740914591869630
3,6907,MOVE,historical,837.7002,1750.7998,740914598687000
3,6908,MOVE,current,837.6299,1750.835,740914600183050
3,6909,MOVE,historical,837.5,1751.0,740914607118000
3,6910,MOVE,current,837.4678,1751.0332,740914608496374
3,6911,MOVE,historical,837.0996,1751.2002,740914615545000
3,6912,MOVE,current,837.04004,1751.2305,740914616809718
3,6913,MOVE,historical,836.9004,1751.4004,740914623984000
3,6914,MOVE,current,836.87305,1751.4268,740914625123024
3,6915,MOVE,historical,836.5,1751.5996,740914632225000
3,6916,MOVE,current,836.4414,1751.6299,740914633436354
3,6917,MOVE,historical,836.2002,1751.7998,740914641014000
3,6918,MOVE,current,836.1748,1751.8164,740914641749735
3,6919,MOVE,historical,835.7998,1752.0,740914649190000
3,6920,MOVE,current,835.75684,1752.0215,740914650063120
3,6921,MOVE,historical,835.5,1752.2002,740914657471000
3,6922,MOVE,current,835.4668,1752.2217,740914658376630
3,6923,MOVE,historical,835.0996,1752.5,740914666118000
3,6924,MOVE,current,835.07324,1752.5195,740914666690165
3,6925,MOVE,historical,834.7998,1752.7002,740914674406000
3,6926,MOVE,current,834.7783,1752.7148,740914675003621
3,6927,MOVE,historical,834.4004,1752.9004,740914682741000
3,6928,MOVE,current,834.3721,1752.9141,740914683316954
3,6929,MOVE,historical,834.0,1753.0996,740914691034000
3,6930,MOVE,current,833.9717,1753.1143,740914691630152
3,6931,MOVE,historical,833.7002,1753.2998,740914699584000
